control_id,name,description,category,soc2_criteria,example_evidence
"DCF-4","Version Control System","Satoshi Energy Corp uses a version control system to manage source code, change documentation and tracking, release labeling, and other change management tasks. Access to the version control system is restricted to authorized personnel.","Change Management","CC8.1","Upload evidence of the version control system configured, with controls enabled."
"DCF-5","Change Review Process","Changes are peer-reviewed and approved prior to deployment by an individual different from the developer to maintain segregation of duties. Review requirements are enforced through automated mechanisms such as branch protection settings in the production code repository.","Change Management","CC8.1","Upload evidence of the branch protection settings for relevant code repositories used in production. Example: Screenshots showing configured rules and the repository they pertain to. If your organization configures repositories ruleset at the organization level, upload evidence of those global configurations."
"DCF-6","Production Changes Restricted","Access to make changes in production environments is restricted to authorized personnel in accordance with segregation of duties principles and the company's documented policies and procedures.","Change Management","CC5.1, CC8.1","Upload evidence showing users with access to deploy changes to production. Example: Users with administrator access to a production server, users that can trigger deployments in CI/CD tools, code owners in the production repositories."
"DCF-7","Separate Environments","Pre-production environments (e.g., development, testing, etc.) are separated from production environments and the separation is enforced with access controls.","Change Management","CC8.1","Upload evidence showing separate environments exist for development, testing, staging, and production as applicable. Example: Screenshots of the web environments showing different URLs, screenshots showing separate infrastructure such as different servers, databases, networks for production and lower environments."
"DCF-8","External Communication Channels","Satoshi Energy Corp provides external communication mechanisms for customers and third parties (e.g., communication features, support portal, external ticketing system, etc.) to report complaints, failures, bugs, incidents, vulnerabilities, requests for information, etc. Customer communications are responded to within defined SLAs.","Communication","CC2.3","Upload evidence of communication channels available to customers to report issues, bugs, suspected incidents, etc. Example: Screenshots of customer support portal, help desk page, embedded communication features in web application."
"DCF-9","Internal Communication Channels","Internal communication channels are in place for employees to report failures, events, incidents, policy violations, concerns, and other issues to company management, including anonymous reporting channels if applicable.","Communication","CC1.1, CC1.5, CC2.2","Upload examples of internal communication channels for employees to report failures, events, incidents, concerns, and other issues. Example: Screenshot of internal channels dedicated to security event reporting in messaging apps (Slack, MS Teams, etc.), whistleblower channels."
"DCF-10","Access Control Policy","Satoshi Energy Corp has developed and documented a policy that outlines requirements for access control.","Policies","CC6.2, CC6.3","Upload your documented access control policy."
"DCF-11","Periodic Access Reviews","Management performs user access reviews periodically (as defined by policy and compliance requirements) to validate user accounts, including third party or vendor accounts, and their associated privileges remain appropriate.","Access Control","CC4.1, CC6.2, CC6.3, CC6.4","Upload documentation of the most recent user access and permissions review. Example: Screenshots of the user lists and permissions reviewed, evidence of sign-offs or approvals by at least two individuals (SOD), documentation of changes requested if any, and evidence that the changes requested were implemented. Auditors will generally require to see the following: Evidence of the review inputs, Evidence that segregation of duties was maintained, Changes identified were implemented."
"DCF-12","Baseline Configuration and Hardening Standards","Satoshi Energy Corp has identified and documented baseline security configuration standards for all system components in accordance with industry-accepted hardening standards or vendor recommendations.","Infrastructure","CC6.1, CC7.1","Upload evidence of your documented baseline security configuration and hardening standards. Examples of industry-accepted baseline security configurations include: CIS Benchmarks, CIS Hardened Images, NIST Security Configuration Checklists."
"DCF-13","Information Security Policies","Satoshi Energy Corp has defined and documented an information security policy and other topic-specific policies as needed to support the functioning of internal control.","Policies","CC2.1, CC5.3","Upload your documented information security policies and topic-specific policies."
